width (cm),height (cm)
100,180
27,17
31,39.5
27,17
37,45
21.8,13.7
203,101
100,180
150,70
21.8,13.7
10,25
21.9,16.7
44,31
22.5,29.5
15,14
76.5,62.5
13.5,18.5
107,65
28,45
21,34.5
66,44
14.5,8.5
27.5,35
19.5,48
35,44
36.6,32
24.2,33.5
20.3,26
28,23.8
100,81.5
28,25.5
15,21
54,65
14.5,21
22,21.5
21.5,30
15,15
14,21.2
21.7,35.8
9.2,15
180,99
29.5,42
22,18
25.2,19.3
26,17
39,30
17,23
42,59
33,41
14,29.5
43,34
21.5,36
13,19.5
42,29.5
23.5,31.5
25,42.5
13,20.5
34,25.5
26,36.5
12.5,18.6
24,17
19.5,29
23,27
41.9,57.9
12,11
73,60
10.5,8
8.8,11.5
92,101
170,200
36.5,21.5
200,200
24.2,30.8
30.5,37.5
180,130
12.5,20.2
32,30.6
29.5,42
22,27
110.5,67.5
22,26
29,23
65,48.5
41.5,29.5
32.5,41
84.8,52.5
41.5,31
7,21
34,43.5
32,51
30,44
33.5,26.5
150,200
92,66
24,32
46.5,31.5
14.5,11.5
29.5,42
34,31
85,100
21,29.7
77,62
36,50
11.5,12
31,21
24.5,29
21,30
40,30
14.8,21
35.4,22.2
3.7,4.7
5.5,4.8
86,102.9
31.5,25
22.5,14.6
28,22
16.6,19.7
52,42
16.5,20.5
28.5,47
60,72
24.5,19.5
5.2,5.2
15,23.5
20.5,27.5
29.4,40.3
32,32
14,18.5
51,34
40,58
18.5,23.7
30.5,26.5
80,82.5
365,418
20.5,14
86,71
26,35
49.1,65.6
42,29.5
7.1,8.2
6,9.5
67.6,101.6
16.3,19.7
29,19
102,211
21,29.5
350,50
2.9,3.7
30,21
51,37
74,104
59,42
50,65
22,17.5
100,150
146,100
27,29.5
30,45
31,21
130,75
130,105
10,9.5
21.5,17.5
20,31
35.5,25.5
72,104.3
16.5,11.8
5.3,8.8
33,45
42.3,27.8
26.2,19.6
11,16
34.5,5
6.2,8.3
46,38
28,28
23.5,16
19.5,28.5
37.5,28
81,65.5
15,11
41,31.5
66.5,84
37.5,32.5
21.5,28
42,29.5
17.5,23.3
52,94
21,29.5
59,42
55,71
180,125
23,37.5
10,7
20.5,25.5
33,43
64,55
29.5,42
19,14
35.5,48
23.5,11
17.5,29.7
32.3,45
243,135
28,21.5
42,29.5
105,85
25.5,32
17,19.5
27,18
20,26.5
41,44
22.5,31.5
46,61
28.5,34.7
24.5,18
28.5,33.6
39.5,27
9,13.5
35.5,27
48,63
100,100
53,74.5
25.8,41.4
65.5,50
13.5,15.5
33,39.2
24,32
48,40
59,42
24.5,18
426,268
75,100
28,23
55,40
76,102
42.5,55
49.5,37.5
22,13.5
16.5,36.5
14.5,23
12.8,16.3
37.5,46
29.5,42
15.5,2.8
41,26.5
129.5,85.5
42,29.5
26.5,40
20,24.5
18,13.5
42,29.5
30,22.5
21.5,22.5
35.3,23
18,11.5
23.5,23.5
45.5,31
20,13
23.5,16
21,29.5
39,23.5
22,47
79,170
13,17.5
55,46
26,36
49,56
25,36.5
59.5,76
28,40
17.5,40
31,17
13.5,21.5
73.5,100
22.4,35.5
8.9,13.8
37.5,50
131,91.5
17.2,23.7
4.2,5.5
22.5,30
34,27
29.5,42
27.5,40
24,29
5,8
29.5,42
45,49
40.5,29
